deck_name,deck_code,watermark,is_custom_deck,draw_before,number_to_play,card_text
First Version,CAHMAIN1,CAH,f,2,3,____ + ____ = ____.
First Version,CAHMAIN1,CAH,f,0,2,____ is a slippery slope that leads to ____.
First Version,CAHMAIN1,CAH,f,0,1,____. Betcha can&#39;t have just one!
First Version,CAHMAIN1,CAH,f,0,1,____. High five&#44; bro.
First Version,CAHMAIN1,CAH,f,0,1,____. It&#39;s a trap!
First Version,CAHMAIN1,CAH,f,0,1,____. That&#39;s how I want to die.
First Version,CAHMAIN1,CAH,f,0,1,____: Good to the last drop.
First Version,CAHMAIN1,CAH,f,0,1,____: kid-tested&#44; mother-approved.
First Version,CAHMAIN1,CAH,f,0,1,____? There&#39;s an app for that.
First Version,CAHMAIN1,CAH,f,0,1,A romantic&#44; candlelit dinner would be incomplete without ____.
First Version,CAHMAIN1,CAH,f,0,1,After Hurricane Katrina&#44; Sean Penn brought ____ to all the people of New Orleans.
First Version,CAHMAIN1,CAH,f,0,1,Alternative medicine is now embracing the curative powers of ____.
First Version,CAHMAIN1,CAH,f,0,2,And the Academy Award for ____ goes to ____.
First Version,CAHMAIN1,CAH,f,0,1,Anthropologists have recently discovered a primitive tribe that worships ____.
First Version,CAHMAIN1,CAH,f,0,1,BILLY MAYS HERE FOR ____.
First Version,CAHMAIN1,CAH,f,0,1,But before I kill you&#44; Mr. Bond&#44; I must show you ____.
First Version,CAHMAIN1,CAH,f,0,1,Coming to Broadway this season&#44; ____: The Musical.
First Version,CAHMAIN1,CAH,f,0,1,Due to a PR fiasco&#44; Walmart no longer offers ____.
First Version,CAHMAIN1,CAH,f,0,1,During Picasso&#39;s often-overlooked Brown Period&#44; he produced hundreds of paintings of ____.
First Version,CAHMAIN1,CAH,f,0,1,During sex&#44; I like to think about ____.
First Version,CAHMAIN1,CAH,f,0,2,For my next trick&#44; I will pull ____ out of ____.
First Version,CAHMAIN1,CAH,f,0,1,How am I maintaining my relationship status?
First Version,CAHMAIN1,CAH,f,0,1,I do not know with which weapons World War III will be fought&#44; but World War IV will be fought with ____.
First Version,CAHMAIN1,CAH,f,0,1,I drink to forget ____.
