deck_name,deck_code,watermark,is_custom_deck,card_text
First Version,CAHMAIN1,CAH,f,(I am doing Kegels right now.)
First Version,CAHMAIN1,CAH,f,72 virgins.
First Version,CAHMAIN1,CAH,f,8 oz. of sweet Mexican black-tar heroin.
First Version,CAHMAIN1,CAH,f,A bag of magic beans.
First Version,CAHMAIN1,CAH,f,A balanced breakfast.
First Version,CAHMAIN1,CAH,f,A big hoopla about nothing.
First Version,CAHMAIN1,CAH,f,A bleached asshole.
First Version,CAHMAIN1,CAH,f,A brain tumor.
First Version,CAHMAIN1,CAH,f,A can of whoop-ass.
First Version,CAHMAIN1,CAH,f,A cartoon camel enjoying the smooth&#44; refreshing taste of a cigarette.
First Version,CAHMAIN1,CAH,f,A clandestine butt scratch.
First Version,CAHMAIN1,CAH,f,A cooler full of organs.
First Version,CAHMAIN1,CAH,f,A disappointing birthday party.
First Version,CAHMAIN1,CAH,f,A drive-by shooting.
First Version,CAHMAIN1,CAH,f,A falcon with a cap on its head.
First Version,CAHMAIN1,CAH,f,A fetus.
First Version,CAHMAIN1,CAH,f,A foul mouth.
First Version,CAHMAIN1,CAH,f,A gassy antelope.
First Version,CAHMAIN1,CAH,f,A good sniff.
First Version,CAHMAIN1,CAH,f,A grande sugar-free iced soy caramel macchiato.
First Version,CAHMAIN1,CAH,f,A Gypsy curse.
First Version,CAHMAIN1,CAH,f,A hot mess.
First Version,CAHMAIN1,CAH,f,A LAN party.
First Version,CAHMAIN1,CAH,f,A lifetime of sadness.
First Version,CAHMAIN1,CAH,f,A look-see.
First Version,CAHMAIN1,CAH,f,A mating display.
First Version,CAHMAIN1,CAH,f,A micropenis.
First Version,CAHMAIN1,CAH,f,A middle-aged man on roller skates.
First Version,CAHMAIN1,CAH,f,A mime having a stroke.
First Version,CAHMAIN1,CAH,f,A moment of silence.
First Version,CAHMAIN1,CAH,f,A monkey smoking a cigar.
First Version,CAHMAIN1,CAH,f,A murder most foul.
First Version,CAHMAIN1,CAH,f,A neglected Tamagotchi&trade;.
First Version,CAHMAIN1,CAH,f,A really cool hat.
First Version,CAHMAIN1,CAH,f,A robust mongoloid.
First Version,CAHMAIN1,CAH,f,A sad handjob.
First Version,CAHMAIN1,CAH,f,A salty surprise.
First Version,CAHMAIN1,CAH,f,A sassy black woman.
First Version,CAHMAIN1,CAH,f,A sausage festival.
First Version,CAHMAIN1,CAH,f,A sea of troubles.
First Version,CAHMAIN1,CAH,f,A snapping turtle biting the tip of your penis.
First Version,CAHMAIN1,CAH,f,A stray pube.
First Version,CAHMAIN1,CAH,f,A Super Soaker&trade; full of cat pee.
First Version,CAHMAIN1,CAH,f,A thermonuclear detonation.
First Version,CAHMAIN1,CAH,f,A time travel paradox.
First Version,CAHMAIN1,CAH,f,A tiny horse.
First Version,CAHMAIN1,CAH,f,A vajazzled vagina.
First Version,CAHMAIN1,CAH,f,A windmill full of corpses.
First Version,CAHMAIN1,CAH,f,A zesty breakfast burrito.
First Version,CAHMAIN1,CAH,f,Aaron Burr.
First Version,CAHMAIN1,CAH,f,Abstinence.
First Version,CAHMAIN1,CAH,f,Active listening.
First Version,CAHMAIN1,CAH,f,Adderall&trade;.
First Version,CAHMAIN1,CAH,f,African children.
First Version,CAHMAIN1,CAH,f,Agriculture.
First Version,CAHMAIN1,CAH,f,AIDS.
First Version,CAHMAIN1,CAH,f,Alcoholism.
First Version,CAHMAIN1,CAH,f,All-you-can-eat shrimp for $4.99.
First Version,CAHMAIN1,CAH,f,Altar boys.
First Version,CAHMAIN1,CAH,f,American Gladiators.
First Version,CAHMAIN1,CAH,f,Amputees.
First Version,CAHMAIN1,CAH,f,An asymmetric boob job.
First Version,CAHMAIN1,CAH,f,An erection that lasts longer than four hours.
First Version,CAHMAIN1,CAH,f,An honest cop with nothing left to lose.
First Version,CAHMAIN1,CAH,f,An icepick lobotomy.
First Version,CAHMAIN1,CAH,f,An M. Night Shyamalan plot twist.
First Version,CAHMAIN1,CAH,f,An Oedipus complex.
First Version,CAHMAIN1,CAH,f,Anal beads.
First Version,CAHMAIN1,CAH,f,Another goddamn vampire movie.
First Version,CAHMAIN1,CAH,f,Arnold Schwarzenegger.
First Version,CAHMAIN1,CAH,f,Asians who aren&#39;t good at math.
First Version,CAHMAIN1,CAH,f,Assless chaps.
First Version,CAHMAIN1,CAH,f,Attitude.
First Version,CAHMAIN1,CAH,f,Auschwitz.
First Version,CAHMAIN1,CAH,f,Authentic Mexican cuisine.
First Version,CAHMAIN1,CAH,f,Autocannibalism.
First Version,CAHMAIN1,CAH,f,AXE Body Spray.
First Version,CAHMAIN1,CAH,f,Balls.
First Version,CAHMAIN1,CAH,f,Bananas in Pajamas.
First Version,CAHMAIN1,CAH,f,Barack Obama.
First Version,CAHMAIN1,CAH,f,BATMAN!!!
First Version,CAHMAIN1,CAH,f,Bees?
First Version,CAHMAIN1,CAH,f,Being a dick to children.
First Version,CAHMAIN1,CAH,f,Being a motherfucking sorcerer.
First Version,CAHMAIN1,CAH,f,Being fabulous.
First Version,CAHMAIN1,CAH,f,Being marginalized.
First Version,CAHMAIN1,CAH,f,Being on fire.
First Version,CAHMAIN1,CAH,f,Being rich.
First Version,CAHMAIN1,CAH,f,Bestiality.
First Version,CAHMAIN1,CAH,f,Bill Nye the Science Guy.
First Version,CAHMAIN1,CAH,f,Bingeing and purging.
First Version,CAHMAIN1,CAH,f,Bitches.
First Version,CAHMAIN1,CAH,f,Black people.
First Version,CAHMAIN1,CAH,f,Bling.
First Version,CAHMAIN1,CAH,f,Booby-trapping the house to foil burglars.
First Version,CAHMAIN1,CAH,f,Britney Spears at 55.
First Version,CAHMAIN1,CAH,f,Cards Against Humanity.
First Version,CAHMAIN1,CAH,f,Catapults.
First Version,CAHMAIN1,CAH,f,Centaurs.
First Version,CAHMAIN1,CAH,f,Chainsaws for hands.
First Version,CAHMAIN1,CAH,f,Cheating in the Special Olympics.
First Version,CAHMAIN1,CAH,f,Child abuse.
First Version,CAHMAIN1,CAH,f,Child beauty pageants.
First Version,CAHMAIN1,CAH,f,Children on leashes.
