watermark,is_custom_deck,draw_before,number_to_play,card_text
CAH,f,2,3,[blank] + [blank] = [blank].
CAH,f,0,2,[blank] is a slippery slope that leads to [blank].
CAH,f,0,1,[blank]. Betcha can&#39;t have just one!
CAH,f,0,1,[blank]. High five&#44; bro.
CAH,f,0,1,[blank]. It&#39;s a trap!
CAH,f,0,1,[blank]. That&#39;s how I want to die.
CAH,f,0,1,[blank]: Good to the last drop.
CAH,f,0,1,[blank]: kid-tested&#44; mother-approved.
CAH,f,0,1,[blank]? There&#39;s an app for that.
CAH,f,0,1,A romantic&#44; candlelit dinner would be incomplete without [blank].
CAH,f,0,1,After Hurricane Katrina&#44; Sean Penn brought [blank] to all the people of New Orleans.
CAH,f,0,1,Alternative medicine is now embracing the curative powers of [blank].
CAH,f,0,2,And the Academy Award for [blank] goes to [blank].
CAH,f,0,1,Anthropologists have recently discovered a primitive tribe that worships [blank].
CAH,f,0,1,BILLY MAYS HERE FOR [blank].
CAH,f,0,1,But before I kill you&#44; Mr. Bond&#44; I must show you [blank].
CAH,f,0,1,Coming to Broadway this season&#44; [blank]: The Musical.
CAH,f,0,1,Due to a PR fiasco&#44; Walmart no longer offers [blank].
CAH,f,0,1,During Picasso&#39;s often-overlooked Brown Period&#44; he produced hundreds of paintings of [blank].
CAH,f,0,1,During sex&#44; I like to think about [blank].
CAH,f,0,2,For my next trick&#44; I will pull [blank] out of [blank].
CAH,f,0,1,How am I maintaining my relationship status?
CAH,f,0,1,I do not know with which weapons World War III will be fought&#44; but World War IV will be fought with [blank].
CAH,f,0,1,I drink to forget [blank].
CAH,f,0,1,I got 99 problems but [blank] ain&#39;t one.
CAH,f,0,2,I never truly understood [blank] until I encountered [blank].
CAH,f,0,1,I wish I hadn&#39;t lost the instruction manual for [blank].
CAH,f,0,1,I&#39;m sorry&#44; Professor&#44; but I couldn&#39;t complete my homework because of [blank].
CAH,f,0,1,In 1&#44;000 years&#44; when paper money is but a distant memory&#44; [blank] will be our currency.
CAH,f,0,2,In a world ravaged by [blank]&#44; our only solace is [blank].
CAH,f,0,1,In an attempt to reach a wider audience&#44; the Smithsonian Museum of Natural History has opened an interactive exhibit on [blank].
CAH,f,0,2,In his new summer comedy&#44; Rob Schneider is [blank] trapped in the body of [blank].
CAH,f,0,2,In M. Night Shyamalan&#39;s new movie&#44; Bruce Willis discovers that [blank] had really been [blank] all along.
CAH,f,0,1,In Michael Jackson&#39;s final moments&#44; he thought about [blank].
CAH,f,0,1,In the new Disney Channel Original Movie&#44; Hannah Montana struggles with [blank] for the first time.
CAH,f,0,1,Instead of coal&#44; Santa now gives the bad children [blank].
CAH,f,0,1,It&#39;s a pity that kids these days are all getting involved with [blank].
CAH,f,0,1,Life was difficult for cavemen before [blank].
CAH,f,0,2,Lifetime&reg; presents [blank]&#44; the story of [blank].
CAH,f,0,1,Major League Baseball has banned [blank] for giving players an unfair advantage.
CAH,f,2,3,Make a haiku.
CAH,f,0,1,MTV&#39;s new reality show features eight washed-up celebrities living with [blank].
CAH,f,0,1,Next from J.K. Rowling: Harry Potter and the Chamber of [blank].
CAH,f,0,2,Rumor has it that Vladimir Putin&#39;s favorite delicacy is [blank] stuffed with [blank].
CAH,f,0,1,Studies show that lab rats navigate mazes 50% faster after being exposed to [blank].
CAH,f,0,2,That&#39;s right&#44; I killed [blank]. How&#44; you ask? [blank].
CAH,f,0,1,The class field trip was completely ruined by [blank].
CAH,f,0,1,This is the way the world ends \ This is the way the world ends \ Not with a bang but with [blank].
CAH,f,0,1,TSA guidelines now prohibit [blank] on airplanes.
CAH,f,0,1,War!<br><br>What is it good for?
CAH,f,0,1,What am I giving up for Lent?
CAH,f,0,1,What are my parents hiding from me?
CAH,f,0,1,What did I bring back from Mexico?
CAH,f,0,1,What did the U.S. airdrop to the children of Afghanistan?
CAH,f,0,1,What did Vin Diesel eat for dinner?
CAH,f,0,1,What do old people smell like? 
CAH,f,0,1,What does Dick Cheney prefer?
CAH,f,0,1,What don&#39;t you want to find in your Chinese food?
CAH,f,0,1,What ended my last relationship?
CAH,f,0,1,What gets better with age?
CAH,f,0,1,What gives me uncontrollable gas?
CAH,f,0,1,What helps Obama unwind?
CAH,f,0,1,What is Batman&#39;s guilty pleasure?
CAH,f,0,1,What never fails to liven up the party?
CAH,f,0,1,What will always get you laid?
CAH,f,0,1,What will I bring back in time to convince people that I am a powerful wizard?
CAH,f,0,1,What would grandma find disturbing&#44; yet oddly charming?
CAH,f,0,1,What&#39;s a girl&#39;s best friend?
CAH,f,0,1,What&#39;s my anti-drug?
CAH,f,0,1,What&#39;s my secret power?
CAH,f,0,1,What&#39;s Teach for America using to inspire inner city students to succeed?
CAH,f,0,1,What&#39;s that smell?
CAH,f,0,1,What&#39;s that sound?
CAH,f,0,1,What&#39;s the crustiest?
CAH,f,0,1,What&#39;s the most emo?
CAH,f,0,1,What&#39;s the new fad diet?
CAH,f,0,1,What&#39;s the next Happy Meal&reg; toy?
CAH,f,0,1,What&#39;s the next superhero?
CAH,f,0,1,What&#39;s there a ton of in heaven?
CAH,f,0,1,When I am a billionare&#44; I shall erect a 50-foot statue to commemorate [blank].
CAH,f,0,1,When I am the President of the United States&#44; I will create the Department of [blank].
CAH,f,0,2,When I was tripping on acid&#44; [blank] turned into [blank].
CAH,f,0,1,When I&#39;m in prison&#44; I&#39;ll have [blank] smuggled in.
CAH,f,0,1,When Pharaoh remained unmoved&#44; Moses called down a plague of [blank].
CAH,f,0,1,While the United States raced the Soviet Union to the moon&#44; the Mexican government funneled millions of pesos into research on [blank].
CAH,f,0,1,White people like [blank].
CAH,f,0,1,Who stole the cookies from the cookie jar?
CAH,f,0,1,Why am I sticky?
CAH,f,0,1,Why can&#39;t I sleep at night?
CAH,f,0,1,Why do I hurt all over?
