watermark,is_custom_deck,card_text
RS,t,360 no scopes.
RS,t,A 1971 Ford Pinto.
RS,t,A boat load of cocaine.
RS,t,A giant purple dildo sword.
RS,t,A walrus with a beret.
RS,t,Abusive fathers.
RS,t,Air Bud.
RS,t,ALL the things!
RS,t,An 8-ball.
RS,t,Apples to Apples&reg;.
RS,t,Banana Hammocks.
RS,t,Barney&#39;s rape dungeon.
RS,t,Beer Pong.
RS,t,Bill Gates pissing on Steve Jobs&#39;s grave.
RS,t,Blowing the President.
RS,t,Blowing your hand off with a firework.
RS,t,Blue Waffles.
RS,t,Blue&#39;s Clues.
RS,t,Bong hits for Jesus.
RS,t,Borat&#39;s one piece.
RS,t,Canadian Kindness.
RS,t,Canadian tuxedo.
RS,t,Catdog.
RS,t,Chicken and Waffles.
RS,t,Cranky Kong.
RS,t,Demi Moore&#39;s bush.
RS,t,Dirty hippies.
RS,t,Donkey Shows.
RS,t,Duke Nukem Forever.
RS,t,Eating 120 White Castle burgers&reg;.
RS,t,Four Loko.
RS,t,FrankerZ.
RS,t,Fruit Fuckers.
RS,t,Gerudo Valley.
RS,t,Getting high on bath salts.
RS,t,Hentai.
RS,t,Hey Arnold!
RS,t,Hipsters on their iPhones at Starbucks.
RS,t,Hitler&#39;s mustache.
RS,t,Hoola hoops.
RS,t,Hooters.
RS,t,Hordes of zombies.
RS,t,Hump Day.
RS,t,Hungry Hungry Hippos.
RS,t,Indentured servants.
RS,t,Indiana Jones.
RS,t,Insane Clown Posse.
RS,t,Jew-Fros.
RS,t,Kaizo Mario.
RS,t,Kappa.
RS,t,Lemon grenades.
RS,t,LOOK AT THIS PHOTOGRAPH!
RS,t,Made-for-TV movies.
RS,t,Mario brutally murdering Sonic.
RS,t,Master Chief.
RS,t,Mating season.
RS,t,Monkeys throwing shit.
RS,t,Mountain Dew&reg; Baja Blast.
RS,t,Mr. Fancy Pants.
RS,t,Mr. Hankey the Christmas Poo.
RS,t,Nessie.
RS,t,Nu Metal.
RS,t,Nurse Joy.
RS,t,Outsourcing jobs to India.
RS,t,Penn and Teller.
RS,t,Poorly written Star Wars&reg; fan fiction.
RS,t,Princess Peach&#39;s Cake.
RS,t,Quiznos&reg;.
RS,t,Rainbows and magic.
RS,t,Rich&#44; chocolatey Ovaltine&reg;.
RS,t,Ringworm.
RS,t,Rule 34.
RS,t,Scotsmen marrying their sheep.
RS,t,Sex in your mouth.
RS,t,Shag carpeting.
RS,t,Sheepskin Condoms.
RS,t,Shitting on the White House lawn.
RS,t,Skullcrusher Mountain.
RS,t,Smooth jazz.
RS,t,Snorting Pixie Stix.
RS,t,Song of Storms.
RS,t,Sonic brutally murdering Mario.
RS,t,Soviet Russia.
RS,t,Spanish soap operas.
RS,t,Speedrunning life.
RS,t,Sponge baths.
RS,t,Spontaneous Combustion.
RS,t,Teh Urn.
RS,t,Terabytes of horse porn.
RS,t,The Bible.
RS,t,The brown note.
RS,t,The Columbine Shooting.
RS,t,The DK Rap.
RS,t,The Eiffel Tower.
RS,t,The final circle of Hell.
RS,t,The hero of time.
RS,t,The Hokey Pokey.
RS,t,The Mushroom Kingdom.
RS,t,The Oculus Rift.
RS,t,The Ouya.
RS,t,The shitty remains of Taco Bell&reg;.
RS,t,The smallest&#44; whitest dick.
RS,t,The tears of a college student.
RS,t,The truffle shuffle.
RS,t,The Wiggles.
RS,t,The world&#39;s tallest midget.
RS,t,Tickle Me Elmo.
RS,t,Tits.
RS,t,TotalBiscuit&#39;s top hat.
RS,t,Two midgets stacked up pretending to be one person.
RS,t,Using hot sauce as lube.
RS,t,Viking Metal.
RS,t,Walt Disney&#39;s frozen head.
RS,t,Xyzzy playing around with gender roles.
RS,t,Yankee Stadium.
