watermark,is_custom_deck,draw_before,number_to_play,card_text
RS,t,0,1,[blank] 2012.
RS,t,0,2,[blank] and [blank] are the new hot couple.
RS,t,0,1,[blank] Game of the Year Edition.
RS,t,0,1,[blank] ruined many people&#39;s childhood.
RS,t,0,1,Dustin Browder demands more [blank] in StarCraft&reg;.
RS,t,0,1,Grand Theft Auto&trade;: [blank].
RS,t,0,1,I never thought [blank] would be so enjoyable.
RS,t,0,1,I whip my [blank] back and forth.
RS,t,0,2,I wouldn&#39;t fuck [blank] with [blank]&#39;s dick.
RS,t,0,1,I&#39;ve got the whole world in my [blank].
RS,t,0,1,In a news conference&#44; Obama pulled out [blank]&#44; to everyone&#39;s surprise.
RS,t,0,1,In his next movie&#44; Will Smith saves the world from [blank].
RS,t,0,1,In his second term&#44; Obama will rid America of [blank].
RS,t,0,1,In the future&#44; [blank] will fuel our cars.
RS,t,0,1,In the next episode&#44; SpongeBob gets introduced to [blank]. 
RS,t,0,1,In the next Punch Out!!&#44; [blank] will be the secret final boss.
RS,t,0,1,Instead of playing Cards Against Humanity&#44; you could be [blank].
RS,t,0,1,Justin Beiber&#39;s new song is all about [blank].
RS,t,0,1,Keith Richards enjoys [blank] on his food.
RS,t,0,1,Lady Gaga has revealed her new dress will be made of [blank].
RS,t,0,1,My life for [blank]!
RS,t,0,1,Nights filled with [blank].
RS,t,0,1,One does not simply walk into [blank].
RS,t,2,3,Plan a three course meal.
RS,t,0,1,Praise [blank]!
RS,t,0,1,Tastes like [blank].
RS,t,0,1,The lion&#44; the witch&#44; and [blank].
RS,t,0,2,The new fad diet is all about making people do [blank] and eat [blank].
RS,t,0,1,The next Assassin&#39;s Creed game will take place in [blank].
RS,t,0,2,The next pokemon will combine [blank] and [blank].
RS,t,0,1,The victim was found with [blank].
RS,t,0,1,Welcome to my secret lair on [blank].
RS,t,0,1,What can you always find in between the couch cushions?
RS,t,0,1,What is Curious George so curious about?
RS,t,0,1,What is Japan&#39;s national pastime?
RS,t,0,1,What is literally worse than Hitler?
RS,t,0,1,What is love without [blank]?
RS,t,0,1,What is the answer to life&#39;s question?
RS,t,0,1,What is the next big sideshow attraction?
RS,t,0,1,What is the next great Kickstarter project?
RS,t,0,1,What was going through Osama Bin Laden&#39;s head before he died?
RS,t,0,1,What will Xyzzy take over the world with?
RS,t,0,1,When North Korea gets [blank]&#44; it will be the end of the world.
RS,t,0,1,When short on money&#44; you can always [blank].
RS,t,0,1,Who is GLaDOS&#39;s next test subject?
RS,t,0,1,Who let the dogs out?
RS,t,0,1,Who needs college when you have [blank].
