id,text,draw,pick,watermark,card_text
5198,&gt;walk into gamestop<br>&gt;see ____<br>&gt;walk out,0,1,Vidya,&gt;walk into gamestop<br>&gt;see [blank]<br>&gt;walk out
5205,&gt;____<br>&gt;____<br>&gt;2011<br>&gt;ISHYGDDT,0,2,Vidya,&gt;[blank]<br>&gt;[blank]<br>&gt;2011<br>&gt;ISHYGDDT
8731,&#34;____.&#34;<br>&#34;What the hell&#44; man?!&#34;<br>&#34;____.&#34;<br>&#34;Oh&#44; okay.&#34;,0,2,ANX1,&#34;[blank].&#34;<br>&#34;What the hell&#44; man?!&#34;<br>&#34;[blank].&#34;<br>&#34;Oh&#44; okay.&#34;
100207,Here is the church<br>Here is the steeple<br>Open the doors<br>And there is ____.,0,1,1.3,Here is the church<br>Here is the steeple<br>Open the doors<br>And there is [blank].
100004,test<sup>&reg;</sup><br><i>italic</i>&trade;<br><span class=&#34;card_number&#34;><b>&uarr;</b></span>,0,1,test,test<sup>&reg;</sup><br><i>italic</i>&trade;<br><span class=&#34;card_number&#34;><b>&uarr;</b></span>
912,My ____ is the ____ that will pierce the heavens!!  <i>*same white card used for both blanks*</i>,0,1,AN,My [blank] is the [blank] that will pierce the heavens!!  <i>*same white card used for both blanks*</i>
100298,The most controversial game at PAX this year is an 8-bit indie platformer about ____.<span class=&#34;cardnum&#34;>38 / 44</span>,0,1,13PAX,The most controversial game at PAX this year is an 8-bit indie platformer about [blank].<span class=&#34;cardnum&#34;>38 / 44</span>
100299,What made Spock cry?<span class=&#34;cardnum&#34;>39 / 44</span>,0,1,13PAX,What made Spock cry?<span class=&#34;cardnum&#34;>39 / 44</span>
100300,____: Achievement unlocked.<span class=&#34;cardnum&#34;>40 / 44</span>,0,1,13PAX,[blank]: Achievement unlocked.<span class=&#34;cardnum&#34;>40 / 44</span>
100304,What&#39;s the latest bullshit that&#39;s troubling this quaint fantasy town?<span class=&#34;cardnum&#34;>43 / 44</span>,0,1,13PAX,What&#39;s the latest bullshit that&#39;s troubling this quaint fantasy town?<span class=&#34;cardnum&#34;>43 / 44</span>
