watermark,is_custom_deck,draw_before,number_to_play,card_text
/tg/,t,0,1,&gt;mfw [blank].
/tg/,t,0,1,&gt;preferring 3D women over [blank]
/tg/,t,0,1,...And then he killed the Tarasque with a [blank]
/tg/,t,0,1,...and then the bastard pulled out [blank] and placed it on the table.
/tg/,t,0,1,[blank] causes the Paladin to fall
/tg/,t,0,1,[blank] falls&#44; everyone dies.
/tg/,t,0,2,[blank] followed by gratuitous [blank] is how I got kicked out off my last group.
/tg/,t,0,1,[blank] is the only way I can forget about 4e.
/tg/,t,0,1,[blank] is the only way to fix 3.5.
/tg/,t,0,1,[blank] just fucked us
/tg/,t,1,2,[blank] vs. [blank]: Critical Hit!
/tg/,t,0,1,[blank]! what was that?
/tg/,t,0,1,[blank]. we don&#39;t need other boards anymore!
/tg/,t,1,3,[blank]: [blank] in fiction&#44; [blank] on the tabletop.
/tg/,t,0,1,[blank]: That was a thing.
/tg/,t,0,1,[blank]? That&#39;s ULTRA heretical
/tg/,t,0,1,0/10 would not [blank].
/tg/,t,0,1,2e or [blank]
/tg/,t,0,1,Ach! Hans run! It&#39;s the [blank]!
/tg/,t,0,1,Around elves&#44; watch [blank]
/tg/,t,1,2,Behold! White Wolf&#39;s newest game: [blank]: the [blank].
/tg/,t,1,2,Blood for the blood god! [blank] for the [blank]!
/tg/,t,0,1,Can [blank] bloom on the battlefield?
/tg/,t,0,1,D&amp;D: 6th edition will feature [blank] as a main race!
/tg/,t,0,1,Don&#39;t touch me [blank]!
/tg/,t,0,1,Dwarf Fortress needs more [blank]
/tg/,t,0,1,Elf [blank] Wat do?
/tg/,t,0,1,Everybody was surprised when the king&#39;s trusted adviser turned out to be [blank].
/tg/,t,0,1,For our upcoming FATAL game&#44; I&#39;ve assigned [blank] as your new character.
/tg/,t,0,1,GW stores no longer stock[blank]
/tg/,t,0,1,I am Angry&#44; Angry about [blank].
/tg/,t,0,1,I cast magic missile at [blank].
/tg/,t,0,1,I got a box today. What&#39;s inside? [blank]
/tg/,t,0,1,I had to kill a party member when wasted 2 hours by [blank].
/tg/,t,0,1,I kept getting weird looks at FNM when I brought my new [blank] card sleeves.
/tg/,t,0,1,I like to dress up like [blank] and hit people with foam swords.
/tg/,t,0,1,I prepared [blank] this morning.
/tg/,t,0,2,I proxy [blank] using a second-hand [blank].
/tg/,t,0,1,I sure hope no one notices that I inserted my [blank] fetish into the game.
/tg/,t,0,1,If you buy a camel&#44; Crazy Hassan is adding in free [blank] this week only!
/tg/,t,0,2,In respect to your chapter&#44; the Blood Ravens have dedicated one of their[blank]to [blank].
/tg/,t,0,1,In the grim darkness of the far future there is only [blank]
/tg/,t,0,1,It would have taken [blank] to..... CREEEEEEEEEED!
/tg/,t,0,1,Macha was dismayed to find out that [blank].
/tg/,t,0,1,Magic the Gathering&#39;s next set is themed around [blank].
/tg/,t,0,1,Mountain&#44; Black lotus&#44; sac&#44; to cast [blank].
/tg/,t,0,1,My [blank] are moving on their own
/tg/,t,0,1,My GM just made his girlfriend a [blank] character. How fucked are we?
/tg/,t,0,1,My Kriegers came in a box of [blank]!
/tg/,t,0,1,Never fire [blank] at the bulkhead!
/tg/,t,0,1,Next up: Lord Lysander&#39;s paints [blank].
/tg/,t,0,1,Only fags play mono[blank].
/tg/,t,0,1,Roll [blank] circumference
/tg/,t,0,1,Roll for [blank].
/tg/,t,0,1,So I made my chapter insignia [blank]
/tg/,t,0,1,That one guy in my group always rolls a chaotic neutral [blank].
/tg/,t,0,1,The [blank] guides my blade.
/tg/,t,0,1,The adventure was going fine until the BBEG put [blank] in our path.
/tg/,t,0,1,The bard nearly got us killed when he rolled to seduce [blank].
/tg/,t,0,1,The citizens of Innsmouth are really [blank]!
/tg/,t,0,2,The door to the FLGS opens and a [blank] walks in!
/tg/,t,0,1,The enemy&#39;s [blank] is down.
/tg/,t,1,2,The GM has invited his new [blank] to join the game. They&#39;ll be playing [blank].
/tg/,t,1,2,The guard looks a troubled&#44; uncomfortable glare&#44; like a man who must explain to his [blank]&#44; that&#39;s its dreams of becoming [blank] will never happen.
/tg/,t,0,1,The last straw was the Chaotic Neutral buying a case of [blank].
/tg/,t,0,1,The lich&#39;s phylactery is a  [blank]!
/tg/,t,1,2,The only good [blank] is a dead [blank]
/tg/,t,0,1,The price on [blank] Has doubled!
/tg/,t,0,1,Then the barbarian drank from the [blank]-filled fountain
/tg/,t,0,1,There is a [blank] on the roof.
/tg/,t,0,2,Wait! I&#39;m a [blank]! Let me tell you about my [blank]!
/tg/,t,0,1,We found [blank]in the Dragon&#39;s hoard.
/tg/,t,0,1,We knew the game was off to a good start when the GM didn&#39;t veto a player&#39;s decision to play as [blank].
/tg/,t,0,1,Welcome to the [blank] Quest Thread.
/tg/,t,0,1,What are we going to argue about today?
/tg/,t,2,3,What I made: [blank].<br>What the DM saw: [blank].<br>What I played: [blank]
/tg/,t,0,1,What is better than 3D women?
/tg/,t,0,1,What is the BBEG&#39;s secret weapon?
/tg/,t,0,1,What won&#39;t the Bard fuck?.
/tg/,t,0,1,What&#39;s on today&#39;s agenda for the mage guild meeting?
/tg/,t,0,2,Whenever we run [blank]&#44; it&#39;s customary that [blank] pays for the group&#39;s pizza.
/tg/,t,0,1,Where we&#39;re going&#44; we won&#39;t need [blank] to see
/tg/,t,1,3,You and [blank] must stop [blank] with the ancient artifact [blank].
/tg/,t,0,1,You encounter a Gazebo. You respond with [blank]
/tg/,t,0,1,You fool! you fell victim to one of the classic blunders: [blank].
/tg/,t,0,1,You roll 00 for your magical mishap and turn into [blank].
/tg/,t,0,1,You should never let your bard [blank].
/tg/,t,0,2,You&#39;ve been cursed by the witch! Your [blank] has turned into a [blank]!
/tg/,t,0,1,Your BBEG is actually [blank]!
/tg/,t,0,1,Your Natural 1 summons [blank].
ADM,t,0,1,&#34;Why Grandma&#34;&#44; said Little Red Riding Hood&#44; &#34;What big [blank] you have!&#34;
ADM,t,0,2,[blank] and [blank] are the new hot couple.
ADM,t,0,1,[blank] for president!
ADM,t,0,1,[blank] is a lie.
ADM,t,0,1,[blank] is camping my lane.
ADM,t,0,1,[blank] is my worst habit.
ADM,t,0,1,[blank] is the greatest Canadian.
ADM,t,0,2,[blank] is the name of my [blank] cover band.
ADM,t,0,1,[blank] is the only thing that matters.
ADM,t,0,1,[blank] is the root of all evil.
ADM,t,0,1,[blank] makes me uncomfortable.
ADM,t,0,1,[blank] sounds like a great alternative rock band.
ADM,t,0,2,[blank] uses [blank]. It is SUPER EFFECTIVE!
ADM,t,0,1,[blank]! You know&#44; for kids.
ADM,t,0,1,[blank]. Everything else is uncivilized.
ADM,t,0,1,[blank]. Goddammit&#44; Japan.
ADM,t,0,1,[blank]. That is my fetish.
ADM,t,0,1,[blank].tumblr.com
ADM,t,0,1,[blank]? It&#39;s a DLC item.
ADM,t,0,2,A wild [blank] appeared! It used [blank]!
ADM,t,0,2,After I saw [blank]&#44; I needed [blank].
ADM,t,0,1,Alcoholic games of Clue&reg; lead to [blank].
ADM,t,0,1,All your [blank] are belong to us
ADM,t,0,1,And it is said his ghost still wanders these halls&#44; forever searching for his lost [blank].
ADM,t,0,1,And on his farm he had [blank]&#44; E-I-E-I-O!
ADM,t,0,1,And the award for the filthiest scene in an adult film goes to &#34;5 women and [blank].&#34;
ADM,t,0,1,At first I couldn&#39;t understand [blank]&#44; but now it&#39;s my biggest kink.
ADM,t,2,3,Best drink ever: One part [blank]&#44; three parts [blank]&#44; and a splash of [blank].
ADM,t,0,1,Best game of 2013? [blank]&#44; of course.
ADM,t,0,1,Cunnilungus and psychiatry brought us to [blank].
ADM,t,0,1,Digimon! Digivolve to: [blank]-mon!
ADM,t,0,1,Don&#39;t get mad&#44; get [blank].
ADM,t,0,1,Dustin Browder demands more [blank] in StarCraft&reg;.
ADM,t,0,1,Everything&#39;s better with [blank].
ADM,t,0,1,Go-Go-Gadget&#44; [blank]!
ADM,t,0,1,Have fun&#44; don&#39;t be [blank].
ADM,t,0,1,Hey guys&#44; check out my [blank] montage!
ADM,t,0,1,How do you get your dog to stop humping your leg?
ADM,t,0,1,I can&#39;t believe I spent most of my paycheck on [blank].
ADM,t,0,1,I finally realized I hit rock bottom when I started digging through dumpsters for [blank].
ADM,t,0,1,I have never in my life laughed harder than the first time I watched [blank].
ADM,t,0,1,I watch movies just to see if I can find a Big Lipped [blank] Moment.
ADM,t,0,2,I write slash fanfiction pairing [blank] with [blank].
ADM,t,0,1,I&#39;M-A FIRIN&#39; MAH [blank]!
ADM,t,0,1,I&#39;m an expert on [blank].
ADM,t,0,2,If life gives you [blank]&#44; make [blank].
ADM,t,0,1,If you could fuck anyone in the world&#44; who would you choose?
ADM,t,0,1,In his next movie&#44; Will Smith saves the world from [blank].
ADM,t,0,1,It&#39;s difficult to explain to friends and family why I know so much about [blank].
ADM,t,0,1,It&#39;s the end of [blank] as we know it.
ADM,t,2,3,Just announced: The brand new anime adaptation of [blank]&#44; starring [blank] as the voice of [blank].
ADM,t,0,1,Kill it with [blank]!
ADM,t,0,1,Ladies and gentlemen&#44; I give you [blank]... COVERED IN BEES!!!
ADM,t,0,1,Let&#39;s all rock out to the sounds of [blank].
ADM,t,0,1,Long story short&#44; I ended up with [blank] in my ass.
ADM,t,0,1,Mom&#44; I swear! Despite its name&#44; [blank] is NOT a porno!
ADM,t,0,1,My [blank] is too big!
ADM,t,0,1,My life for [blank]!
ADM,t,0,2,No matter how you look at it&#44; ultimately [blank] is responsible for [blank].
ADM,t,0,1,No one wants to see your [blank].
ADM,t,0,1,Of my entire collection&#44; my most prized possession is [blank].
ADM,t,0,1,Oh god&#44; I can&#39;t believe we ate [blank] at PAX.
ADM,t,0,1,OH MY GOD THIS IS THE GREATEST [blank] I&#39;VE EVER SEEN IN MY LIFE!
ADM,t,0,1,Okay&#44; I&#39;ll admit it. I would totally go gay for [blank].
ADM,t,0,2,On its last dying breath&#44; [blank] sent out a cry for help. A bunch of [blank] heard the cry.
ADM,t,0,1,On the next episode of Dragon Ball Z&#44; Goku has a fierce battle with [blank].
ADM,t,0,1,Only in Korea can you see [blank].
ADM,t,0,1,People die when they are [blank].
ADM,t,2,3,Plan a three course meal.
ADM,t,0,1,Praise [blank]!
ADM,t,0,1,Real men watch [blank].
ADM,t,0,2,So wait&#44; [blank] was actually [blank]? Wow&#44; I didn&#39;t see that one coming!
