id,text,watermark
100284,Yoshi&#39;s huge egg-laying cloaca.<span class=&#34;cardnum&#34;>17 / 44</span>,13PAX
100114,An all-midget production of Shakespeare&#39;s <i>Richard III</i>.,X3
4557,Masa! <3,AN
4558,THE MAN-POLE OF <i>DOOOOOOOOOM!!!</i>,AN
4638,<i>CHIIIIIIIIN.</i>,AN
4661,Michelle Ru-<br>er&#44; I mean... &#34;Sophie Roberts.&#34;,AN
4676,KING!!! KING!!! KING GAINER!!!<br><i>*does the Monkey*</i>,AN
4716,&#34;INUYASHA!!&#34;<br>&#34;KAGOME!!&#34;,AN
4723,MUNGLE!!<br><i>*shakes fist*</i>,AN
4770,Ice cold water<br>(and it&#39;s only a dollar).,AN
100270,Reading the comments.<span class=&#34;cardnum&#34;>3 / 44</span>,13PAX
100275,The collective wail of every Magic player suddenly realizing that they&#39;ve spent hundreds of dollars on pieces of cardboard.<span class=&#34;cardnum&#34;>8 / 44</span>,13PAX
100276,Being an attractive elf trapped in an unattractive human&#39;s body.<span class=&#34;cardnum&#34;>9 / 44</span>,13PAX
100277,Temporary invincibility.<span class=&#34;cardnum&#34;>10 / 44</span>,13PAX
100281,Mario Kart rage.<span class=&#34;cardnum&#34;>14 / 44</span>,13PAX
100287,A homemade&#44; cum-stained Star Trek uniform.<span class=&#34;cardnum&#34;>20 / 44</span>,13PAX
100290,Never watching&#44; discussing&#44; or thinking about My Little Pony.<span class=&#34;cardnum&#34;>23 / 44</span>,13PAX
100291,Turn-of-the-century sky racists.<span class=&#34;cardnum&#34;>24 / 44</span>,13PAX
100293,A fully-dressed female videogame character.<span class=&#34;cardnum&#34;>26 / 44</span>,13PAX
100294,Buying virtual clothes for a Sim family instead of real clothes for a real family.<span class=&#34;cardnum&#34;>27 / 44</span>,13PAX
100295,Google Glass + e-cigarette: Ultimate Combo!<span class=&#34;cardnum&#34;>28 / 44</span>,13PAX
100268,Full HD.<span class=&#34;cardnum&#34;>1 / 44</span>,13PAX
100272,Allowing nacho cheese to curdle in your beard while you creep in League of Legends.<span class=&#34;cardnum&#34;>5 / 44</span>,13PAX
100278,The Sarlacc.<span class=&#34;cardnum&#34;>11 / 44</span>,13PAX
100282,Nude-modding Super Mario World.<span class=&#34;cardnum&#34;>15 / 44</span>,13PAX
100283,An angry stone head that stomps on the floor every three seconds.<span class=&#34;cardnum&#34;>16 / 44</span>,13PAX
100285,The Cock Ring of Alacrity.<span class=&#34;cardnum&#34;>18 / 44</span>,13PAX
100286,Offering sexual favors for an ore and a sheep.<span class=&#34;cardnum&#34;>19 / 44</span>,13PAX
100288,Unlocking a new sex position.<span class=&#34;cardnum&#34;>21 / 44</span>,13PAX
100289,The boner hatch in the Iron Man suit.<span class=&#34;cardnum&#34;>22 / 44</span>,13PAX
100292,The decade of legal inquests following a single hour of Grand Theft Auto.<span class=&#34;cardnum&#34;>25 / 44</span>,13PAX
100296,Legendary Creature &ndash; Robert Khoo.<span class=&#34;cardnum&#34;>31 / 44</span>,13PAX
100297,Winning the approval of Cooking Mama that you never got from actual mama.<span class=&#34;cardnum&#34;>32 / 44</span>,13PAX
100305,Tapping Sara Angel.<span class=&#34;cardnum&#34;>29 / 44</span>,13PAX
100306,Charles Barkley Shut Up and Jam!<span class=&#34;cardnum&#34;>30 / 44</span>,13PAX
100307,Getting into a situation with an owlbear.<span class=&#34;cardnum&#34;>34 / 44</span>,13PAX
100308,Grand Theft Auto: Fort Lauderdale.<span class=&#34;cardnum&#34;>35 / 44</span>,13PAX
100309,A madman who lives in a policebox and kidnaps women.<span class=&#34;cardnum&#34;>36 / 44</span>,13PAX
100310,SNES cartridge cleaning fluid.<span class=&#34;cardnum&#34;>37 / 44</span>,13PAX
100311,Eating a pizza that&#39;s lying on the street to gain health.<span class=&#34;cardnum&#34;>33 / 44</span>,13PAX
100269,The gravity gun.<span class=&#34;cardnum&#34;>2 / 44</span>,13PAX
100273,Achieving the manual dexterity and tactical brilliance of a 12-year-old Korean boy.<span class=&#34;cardnum&#34;>6 / 44</span>,13PAX
100280,Bowser&#39;s aching heart.<span class=&#34;cardnum&#34;>13 / 44</span>,13PAX
100279,Filling every pouch of a UtiliKilt&trade; with pizza.<span class=&#34;cardnum&#34;>12 / 44</span>,13PAX
100271,70&#44;000 gamers sweating and farting inside an airtight steel dome.<span class=&#34;cardnum&#34;>4 / 44</span>,13PAX
100375,Prince Ali&#44;<br/>fabulous he&#44;<br/>Ali Ababwa.,X4
100274,Rolling a D20 to save a failing marriage.<span class=&#34;cardnum&#34;>7 / 44</span>,13PAX
